0,追风筝的人（1-9年级必读书单）此版本已售罄，请购买新版
1,窗边的小豆豆
2,从你的全世界路过（周震南推荐）
3,斯凯瑞金色童书·第一辑（全4册）
4,岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。加·泽文感动全球千万读者的治愈小说！）
5,平凡的世界（全三册）（该版已不再加印，请购买新版）
6,百年孤独（加西亚马尔克斯代表作）
7,小熊宝宝绘本（全15册）
8,东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，东野圭吾长篇小说代表作，这家店帮你找回内心流失的东西）
9,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典】
10,"我不喜欢这世界,我只喜欢你"
11,阿弥陀佛么么哒（大冰作品！畅销300万册）
12,信谊世界精选图画书·猜猜我有多爱你
13,摆渡人（系列畅销千万册。如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？《摆渡人》完结篇即将上市！）
14,青蛙弗洛格的成长故事（第一辑 全12册）
15,活着（余华经典著作）
16,白岩松：白说
17,噼里啪啦系列（共7册）
18,偷影子的人
19,目送：龙应台“人生三书”之三（彩插新版）
20,《地图（人文版）》手绘世界地图·儿童百科绘本
21,白夜行（东野圭吾推理小说无冕之王。全新精装典藏版。）
22,三毛：撒哈拉的故事
23,神奇校车·图画书版（全11册）
24,学会爱自己（全3册）
